icd,description,acs_acutemi
I21,Acute myocardial infarction,1
I21.0,Acute transmural myocardial infarction of anterior wall,1
I21.1,Acute transmural myocardial infarction of inferior wall,1
I21.2,Acute transmural myocardial infarction of other sites,1
I21.3,Acute transmural myocardial infarction of unspecified site,1
I21.4,Acute subendocardial myocardial infarction,1
I21.9,"Acute myocardial infarction, unspecified",1
I23,Certain current complications following acute myocardial infarction,1
I23.0,Haemopericardium as current complication following acute myocardial infarction,1
I23.1,Atrial septal defect as current complication following acute myocardial infarction,1
I23.2,Ventricular septal defect as current complication following acute myocardial infarction,1
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,1
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,1
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction,1
I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",1
I23.8,Other current complications following acute myocardial infarction,1
I24.1,Dressler syndrome,1
