icd,description,cv_death
I00,Rheumatic fever without mention of heart involvement,1
I01,Rheumatic fever with heart involvement,1
I01.0,Acute rheumatic pericarditis,1
I01.1,Acute rheumatic endocarditis,1
I01.2,Acute rheumatic myocarditis,1
I01.8,Other acute rheumatic heart disease,1
I01.9,"Acute rheumatic heart disease, unspecified",1
I02,Rheumatic chorea,1
I02.0,Rheumatic chorea with heart involvement,1
I02.9,Rheumatic chorea without heart involvement,1
I05,Rheumatic mitral valve diseases,1
I05.0,Mitral stenosis,1
I05.1,Rheumatic mitral insufficiency,1
I05.2,Mitral stenosis with insufficiency,1
I05.8,Other mitral valve diseases,1
I05.9,"Mitral valve disease, unspecified",1
I06,Rheumatic aortic valve diseases,1
I06.0,Rheumatic aortic stenosis,1
I06.1,Rheumatic aortic insufficiency,1
I06.2,Rheumatic aortic stenosis with insufficiency,1
I06.8,Other rheumatic aortic valve diseases,1
I06.9,"Rheumatic aortic valve disease, unspecified",1
I07,Rheumatic tricuspid valve diseases,1
I07.0,Tricuspid stenosis,1
I07.1,Tricuspid insufficiency,1
I07.2,Tricuspid stenosis with insufficiency,1
I07.8,Other tricuspid valve diseases,1
I07.9,"Tricuspid valve disease, unspecified",1
I08,Multiple valve diseases,1
I08.0,Disorders of both mitral and aortic valves,1
I08.1,Disorders of both mitral and tricuspid valves,1
I08.2,Disorders of both aortic and tricuspid valves,1
I08.3,"Combined disorders of mitral, aortic and tricuspid valves",1
I08.8,Other multiple valve diseases,1
I08.9,"Multiple valve disease, unspecified",1
I09,Other rheumatic heart diseases,1
I09.0,Rheumatic myocarditis,1
I09.1,"Rheumatic diseases of endocardium, valve unspecified",1
I09.2,Chronic rheumatic pericarditis,1
I09.8,Other specified rheumatic heart diseases,1
I09.9,"Rheumatic heart disease, unspecified",1
I10,Essential (primary) hypertension,1
I11,Hypertensive heart disease,1
I11.0,Hypertensive heart disease with (congestive) heart failure,1
I11.9,Hypertensive heart disease without (congestive) heart failure,1
I12,Hypertensive renal disease,1
I12.0,Hypertensive renal disease with renal failure,1
I12.9,Hypertensive renal disease without renal failure,1
I13,Hypertensive heart and renal disease,1
