conssourceid,description,primarycare,ae,op,hospital
41,Accident & Emergency,,1,,
42,Accident & Emergency,,1,,
43,Accident & Emergency,,1,,
44,Accident & Emergency,,1,,
45,Accident & Emergency,,1,,
46,Accident & Emergency,,1,,
47,Accident & Emergency,,1,,
50,Accident & Emergency,,1,,
51,Accident & Emergency,,1,,
52,Accident & Emergency,,1,,
58,GP Practice,1,,,
64,Accident & Emergency,,1,,
120,GP Practice,1,,,
152,GP Practice,1,,,
156,GP Practice,1,,,
172,GP Practice,1,,,
178,GP Practice,1,,,
191,GP Practice,1,,,
213,GP Practice,1,,,
217,GP Practice,1,,,
234,GP Practice,1,,,
237,GP Practice,1,,,
238,GP Practice,1,,,
263,GP Practice,1,,,
264,GP Practice,1,,,
273,GP Practice,1,,,
275,GP Practice,1,,,
295,GP Practice,1,,,
301,GP Practice,1,,,
302,GP Practice,1,,,
306,Casualty Attendance,,1,,
320,GP Practice,1,,,
323,GP Practice,1,,,
325,GP Practice,1,,,
336,GP Practice,1,,,
340,GP Practice,1,,,
341,GP Practice,1,,,
351,GP Practice,1,,,
352,GP Practice,1,,,
360,Clinic,1,,,
361,Clinic,1,,,
364,Clinic NHS,1,,,
365,Clinic NHS,1,,,
366,Clinic note,1,,,
386,GP Practice,1,,,
397,Community Clinic,1,,,
416,GP Practice,1,,,
421,Consultation,1,,,
426,Contact method: G.P.Surgery,1,,,
449,GP Practice,1,,,
451,GP Practice,1,,,
502,GP Practice,1,,,
617,GP Practice,1,,,
638,Emergency Doctor,1,,,
645,GP Practice,1,,,
704,GP Practice,1,,,
705,GP Practice,1,,,
706,GP Practice,1,,,
707,GP Practice,1,,,
727,GP Practice,1,,,
745,G P Consultation,1,,,
751,G.P. Evening Surgery,1,,,
754,GP Surgery,1,,,
802,GP Practice,1,,,
803,GP Practice,1,,,
804,GP Practice,1,,,
805,GP Practice,1,,,
806,GP Practice,1,,,
809,GP Practice,1,,,
813,GP Practice,1,,,
873,GP Practice,1,,,
876,GP Practice,1,,,
878,GP Practice,1,,,
882,GP Practice,1,,,
885,GP Practice,1,,,
903,GP Practice,1,,,
908,GP Practice,1,,,
912,GP Practice,1,,,
913,GP Practice,1,,,
914,GP Practice,1,,,
924,GP Practice,1,,,
929,GP Practice,1,,,
965,GP Practice,1,,,
967,GP Practice,1,,,
984,Home Visit - In Surgery Hours,1,,,
996,GP Practice,1,,,
1006,Accident & Emergency,,1,,
1018,Hospital inpatient,,,,1
1048,Hospital Outpatient Consultation,,,1,
1056,GP Practice,1,,,
1114,Inpatient NHS,,,,1
1115,Inpatient NHS,,,,1
1116,Inpatient NHS,,,,1
1119,Inpatient Trust,,,,1
1120,Inpatient Trust,,,,1
1139,GP Practice,1,,,
1146,GP Practice,1,,,
1157,GP Practice,1,,,
1161,GP Practice,1,,,
1163,GP Practice,1,,,
1172,GP Practice,1,,,
1173,GP Practice,1,,,
1189,GP Practice,1,,,
1225,GP Practice,1,,,
1226,GP Practice,1,,,
1239,GP Practice,1,,,
1244,GP Practice,1,,,
1246,GP Practice,1,,,
1249,GP Practice,1,,,
1260,GP Practice,1,,,
1264,GP Practice,1,,,
1269,GP Practice,1,,,
1275,GP Practice,1,,,
1278,GP Practice,1,,,
1282,GP Practice,1,,,
1284,GP Practice,1,,,
1303,GP Practice,1,,,
1334,GP Practice,1,,,
1338,GP Practice,1,,,
1339,GP Practice,1,,,
1340,GP Practice,1,,,
1350,GP Practice,1,,,
1361,GP Practice,1,,,
1412,Accident & Emergency,,1,,
1413,Accident & Emergency,,1,,
1415,Accident & Emergency,,1,,
1416,Accident & Emergency,,1,,
1417,Accident & Emergency,,1,,
1418,Accident & Emergency,,1,,
1419,Accident & Emergency,,1,,
1420,Accident & Emergency,,1,,
1421,Accident & Emergency,,1,,
1425,Accident & Emergency,,1,,
1426,Accident & Emergency,,1,,
1488,GP Practice,1,,,
1494,GP Practice,1,,,
1498,GP Practice,1,,,
1509,GP Practice,1,,,
1537,GP Practice,1,,,
1552,GP Practice,1,,,
1556,GP Practice,1,,,
1568,GP Practice,1,,,
1571,GP Practice,1,,,
1573,GP Practice,1,,,
1580,GP Practice,1,,,
1592,GP Practice,1,,,
1594,GP Practice,1,,,
1596,GP Practice,1,,,
1600,GP Practice,1,,,
1605,GP Practice,1,,,
1608,GP Practice,1,,,
1610,GP Practice,1,,,
1611,GP Practice,1,,,
1673,Accident & Emergency,,1,,
1674,Accident & Emergency,,1,,
1675,Accident & Emergency,,1,,
1676,Accident & Emergency,,1,,
1679,Accident & Emergency,,1,,
1680,Accident & Emergency,,1,,
1681,Accident & Emergency,,1,,
1682,Accident & Emergency,,1,,
1683,Accident & Emergency,,1,,
1684,Accident & Emergency,,1,,
1685,Accident & Emergency,,1,,
1686,Accident & Emergency,,1,,
