medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,asthma
13997031000006117,^ESCT1399703,,10674991000119104,3777826016,Intermittent allergic asthma,1
9315071000006117,^ESCTSE931507,,10675391000119101,3424791011,Severe controlled persistent asthma,1
9315091000006116,^ESCTSE931509,,10675431000119106,3043971012,Severe persistent allergic asthma,1
9315181000006118,^ESCTSE931518,,10675751000119107,3424789015,Severe uncontrolled persistent asthma,1
9315201000006117,^ESCTMI931520,,10675871000119106,3043169011,Mild persistent allergic asthma,1
9315251000006118,^ESCTMI931525,,10676031000119106,3083332018,Mild persistent allergic asthma controlled,1
9315261000006116,^ESCTMI931526,,10676071000119109,3083485012,Mild persistent asthma controlled,1
9315281000006114,^ESCTMI931528,,10676111000119102,3083630015,Mild persistent asthma controlled co-occurrent with allergic rhinitis,1
9315291000006112,^ESCTMI931529,,10676151000119101,3083309017,Mild persistent allergic asthma uncontrolled,1
9315301000006113,^ESCTMI931530,,10676191000119106,3083629013,Mild persistent asthma uncontrolled,1
9315321000006115,^ESCTMI931532,,10676231000119102,3083628017,Mild persistent asthma uncontrolled co-occurrent with allergic rhinitis,1
9315341000006110,^ESCTMO931534,,10676351000119103,3083637017,Moderate persistent asthma controlled,1
9315351000006112,^ESCTMO931535,,10676391000119108,3043556016,Moderate persistent allergic asthma,1
9315401000006116,^ESCTMO931540,,10676551000119105,3083626018,Moderate persistent allergic asthma controlled,1
9315431000006112,^ESCTMO931543,,10676631000119100,3083365014,Moderate persistent allergic asthma uncontrolled,1
9315461000006115,^ESCTMO931546,,10676711000119103,3083432017,Moderate persistent asthma uncontrolled,1
12626261000006115,^ESCT1262626,,1110841000000103,2779661000000114,QOF (Quality and Outcomes Framework) asthma quality indicator-related care invitation,1
11639701000006115,EMISNQAS89,,11639701000006104,11639701000006115,Asthma nurse specialist telephone encounter,1
21390015,H3310,H331000,12428000,21390015,Intrinsic asthma without status asthmaticus,1
8038961000006111,^ESCTMI803896,,125011000119100,3040894010,Mild persistent asthma co-occurrent with allergic rhinitis,1
8038971000006116,^ESCTIN803897,,125021000119107,3041241019,Intermittent asthma co-occurrent with allergic rhinitis,1
9934311000006111,^ESCTOR993431,,16584951000119101,3427554014,Oral steroid-dependent asthma,1
264540018,663N,663N.00,170631002,264540018,Asthma disturbing sleep,1
264541019,663N0,663N000,170632009,264541019,Asthma causing night waking,1
264542014,663N1,663N100,170633004,264542014,Asthma disturbs sleep weekly,1
264543016,663N2,663N200,170634005,264543016,Asthma disturbs sleep frequently,1
264544010,663O,663O.00,170635006,264544010,Asthma not disturbing sleep,1
264545011,663O0,663O000,170636007,264545011,Asthma never disturbs sleep,1
264546012,663P,663P.00,170637003,264546012,Asthma limiting activities,1
264547015,663Q,663Q.00,170638008,264547015,Asthma not limiting activities,1
264551018,663V,663V.00,170642006,264551018,Asthma severity,1
264556011,663W,663W.00,170647000,264556011,Asthma prophylactic medication used,1
264566015,663e,663e.00,170655007,264566015,Asthma restricts exercise,1
264567012,663e0,663e000,170656008,264567012,Asthma sometimes restricts exercise,1
264568019,663e1,663e100,170657004,264568019,Asthma severely restricts exercise,1
264569010,663f,663f.00,170658009,264569010,Asthma never restricts exercise,1
7970131000006117,^ESCTIN797013,,1741000119102,3041058017,Intermittent asthma uncontrolled,1
1807891000006111,JHCAS1,,1807891000006107,1807891000006111,Asthma causes daytime asthma symptoms less than weekly,1
1807901000006110,JHCAS2,,1807901000006106,1807901000006110,"Asthma causes daytime symptoms more than weekly, less than daily",1
1807911000006113,JHCAS3,,1807911000006109,1807911000006113,Asthma causes daytime asthma symptoms daily,1
1807921000006117,JHCAS4,,1807921000006101,1807921000006117,Asthma causes night time symptoms less than 2 times per month,1
1807931000006119,JHCAS5,,1807931000006103,1807931000006119,"Asthma causes night time symp more than 2 times a month,not wkly",1
1807941000006112,JHCAS6,,1807941000006108,1807941000006112,Asthma causes night time asthma symptoms weekly or more often,1
1821501000006116,JHCFR1,,1821501000006100,1821501000006116,Frequent night time asthma symptoms,1
1821511000006118,JHCIN17,,1821511000006102,1821511000006118,Infrequent asthma exacerbations,1
1821531000006112,JHCFR2,,1821531000006108,1821531000006112,Frequent asthma exacerbations,1
797211000006117,8791,8791.00,182724005,282486014,Further asthma - drug prevention,1
282488010,8793,8793.00,182726007,282488010,Asthma control step 0,1
282489019,8794,8794.00,182727003,282489019,Asthma control step 1,1
282490011,8795,8795.00,182728008,282490011,Asthma control step 2,1
282491010,8796,8796.00,182729000,282491010,Asthma control step 3,1
282492015,8797,8797.00,182730005,282492015,Asthma control step 4,1
282493013,8798,8798.00,182731009,282493013,Asthma control step 5,1
285239019,9N1d,9N1d.00,185242005,285239019,Seen in asthma clinic,1
1855521000006111,EMISNQAS34,,1855521000006107,1855521000006111,Asthma monitoring in primary care,1
1855531000006114,EMISNQAS35,,1855531000006105,1855531000006114,Asthma monitoring in secondary care,1
1856351000006118,EMISNQFO32,,1856351000006102,1856351000006118,Follow-up asthma assessment,1
285727014,9OJ1,9OJ1.00,185728001,285727014,Attends asthma monitoring,1
496311000006117,9OJ4,9OJ4.00,185731000,285730019,Asthma monitoring call first letter,1
496321000006113,9OJ5,9OJ5.00,185732007,285731015,Asthma monitoring call second letter,1
496331000006111,9OJ6,9OJ6.00,185734008,285734011,Asthma monitoring call third letter,1
496361000006119,9OJ7,9OJ7.00,185735009,285735012,Asthma monitoring call verbal invite,1
496351000006116,9OJ8,9OJ8.00,185736005,285736013,Asthma monitoring call telephone invite,1
285891014,9Q21,9Q21.00,185940009,285891014,Patient in asthma study,1
1880001000006114,EMISNQNO108,,1880001000006105,1880001000006114,No change in asthma management plan,1
1916511000006114,EMISNQAC840,,1916511000006105,1916511000006114,Access to online patient asthma education given,1
4781531000006113,^ESCTAS478153,,195967001,301479016,Asthmatic,1
301480018,H33-1,H33..11,195967001,301480018,Bronchial asthma,1
301485011,H33,H33..00,195967001,301485011,Asthma,1
301511014,H33z,H33z.00,195967001,301485011,Asthma unspecified,1
396120014,H33zz,H33zz00,195967001,301485011,Asthma NOS,1
301509017,H332,H332.00,195977004,301509017,Mixed asthma,1
300371000000111,9NI8,9NI8.00,198971000000102,300371000000111,Asthma outreach clinic,1
2009981000006110,EMISNQDI256,,2009981000006106,2009981000006110,Difficult asthma,1
636291000000118,1789,1789.00,201031000000108,305571000000112,Asthma trigger - respiratory infection,1
8060791000006112,^ESCTAS806079,,201031000000108,636291000000118,Asthma trigger - respiratory infection,1
636311000000117,1787,1787.00,201041000000104,305591000000111,Asthma trigger - seasonal,1
8060811000006111,^ESCTAS806081,,201041000000104,636311000000117,Asthma trigger - seasonal,1
305611000000115,1786,1786.00,201051000000101,636211000000110,Asthma trigger: animals,1
636231000000119,1788,1788.00,201191000000108,305961000000113,Asthma trigger - cold air,1
8061011000006113,^ESCTAS806101,,201191000000108,636231000000119,Asthma trigger - cold air,1
636251000000114,1785,1785.00,201201000000105,305981000000116,Asthma trigger - damp,1
8061031000006119,^ESCTAS806103,,201201000000105,636251000000114,Asthma trigger - damp,1
636271000000117,1784,1784.00,201211000000107,306001000000115,Asthma trigger - emotion,1
8061051000006114,^ESCTAS806105,,201211000000107,636271000000117,Asthma trigger - emotion,1
338238011,H334,H334.00,225057002,338238011,Brittle asthma,1
350148014,H331-1,H331.11,233679003,350148014,Late onset asthma,1
350149018,H33z2,H33z200,233679003,350148014,Late-onset asthma,1
5054341000006110,^ESCTLA505434,,233679003,350149018,Late-onset asthma,1
817361000006114,H330-3,H330.13,233683003,350153016,Hay fever with asthma,1
350153016,H3300-1,H330011,233683003,350153016,Hay fever with asthma,1
350154010,H330-4,H330.14,233683003,350154010,Pollen asthma,1
8555681000006115,^ESCTST855568,,2360001000004109,3046932018,Steroid dependent asthma,1
396114013,H331,H331.00,266361008,396114013,Intrinsic asthma,1
301508013,H331z,H331z00,266361008,396114013,Intrinsic asthma NOS,1
5492441000006114,^ESCTNO549244,,266361008,396115014,Non-allergic asthma,1
405054019,9OJA-1,9OJA.11,270442000,405054019,Asthma monitored,1
405055018,9OJA,9OJA.00,270442000,405055018,Asthma monitoring check done,1
411877015,663-1,663..11,275908000,411877015,Asthma monitoring,1
5904331000006116,^ESCTAS590433,,302220000,443801018,Asthma control steps,1
8095951000006111,^ESCTRC809595,,302331000000106,1677141000000117,RCP (Royal College of Physicians) asthma assessment,1
536221000000110,388t,388t.00,302331000000106,536221000000110,Royal College of Physicians asthma assessment,1
11922851000006115,^ESCT1192285,,304527002,446841017,Acute asthma,1
5979441000006111,^ESCTAS597944,,308500005,451860019,Asthma monitoring call,1
5979451000006113,^ESCTAS597945,,308501009,451861015,Asthma monitoring status,1
456163018,663j,663j.00,312453004,456163018,Asthma - currently active,1
655601000006113,173A,173A.00,31387002,52467014,Exercise-induced asthma,1
655611000006111,H33zz-1,H33zz11,31387002,52467014,Exercise induced asthma,1
1739131000000111,178A,178A.00,340891000000106,1739131000000111,Asthma trigger - airborne dust,1
8109001000006118,^ESCTAS810900,,340891000000106,634981000000119,Asthma trigger - airborne dust,1
1739141000000119,178B,178B.00,340901000000107,1739141000000119,Asthma trigger - exercise,1
8109021000006111,^ESCTAS810902,,340901000000107,635001000000112,Asthma trigger - exercise,1
1739151000000116,1781,1781.00,340911000000109,1739151000000116,Asthma trigger - pollen,1
8109041000006116,^ESCTAS810904,,340911000000109,635021000000115,Asthma trigger - pollen,1
