medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,cough,chronic_cough
103764016,171G,171G.00,62427007,103764016,Bovine cough,1,0
113213012,171A,171A.00,68154008,113213012,Chronic cough,1,1
11823221000006114,^ESCT1182322,,11833005,3516867016,Non-productive cough,1,0
13768751000006117,^ESCT1376875,,28743005,3756603019,Bronchial cough,1,0
13768761000006115,^ESCT1376876,,28743005,3756604013,Chesty cough,1,0
1709331000006110,EMISNQCO56,,1709331000006106,1709331000006110,Cough on exercise,1,0
1763631000006115,EMISNQCO111,,1763631000006104,1763631000006115,Cough with physiotherapy,1,0
1780331000006117,EMISNQDA11,,1780331000006101,1780331000006117,Daytime cough,1,0
20419011,1712,1712.00,11833005,20419011,Dry cough,1,0
216653013,171F,171F.00,135883003,216653013,Cough with fever,1,0
2168391000000116,R0621,R062100,810511000000109,2168391000000116,[D]Episodic dry cough,1,0
252351017,1713,1713.00,161923004,252351017,Productive cough -clear sputum,1,0
252352012,1714,1714.00,161924005,252352012,Productive cough -green sputum,1,0
252353019,1715,1715.00,161925006,252353019,Productive cough-yellow sputum,1,0
252357018,1717,1717.00,161927003,252357018,Night cough present,1,0
252359015,1719,1719.00,161929000,252359015,Chesty cough,1,0
252360013,1719-1,1719.11,161929000,252360013,Bronchial cough,1,0
252363010,171C,171C.00,161932002,252363010,Morning cough,1,0
252364016,171D,171D.00,161933007,252364016,Evening cough,1,0
252366019,171Z,171Z.00,272039006,407081018,Cough symptom NOS,1,0
252406018,173B,173B.00,161947006,252406018,Nocturnal cough / wheeze,1,0
2828791000006112,^ESCTBR282879,,20670007,34779016,Brassy cough,1,0
303321000000115,171J,171J.00,200151000000106,303321000000115,Reflux cough,1,0
30371011,171K,171K.00,17986004,30371011,Barking cough,1,0
317403015,R062,R062.00,49727002,82824016,[D]Cough,1,0
317408012,R0630,R063000,66857006,500542015,[D]Cough with haemorrhage,1,0
318641016,S1271,S127100,208136003,318641016,Cough fracture of ribs,1,0
318642011,S120A,S120A00,208136003,318642011,Cough fracture,1,0
3193591000006115,^ESCTPA319359,,43025008,71787013,Paroxysmal cough,1,0
3193611000006114,^ESCTFI319361,,43025008,71789011,Fit of coughing,1,0
3516981000006112,^ESCTNO351698,,62548007,103957012,Nocturnal cough,1,0
3520051000006112,^ESCTIN352005,,62731002,499367019,Increasing frequency of cough,1,0
3524231000006119,^ESCTSP352423,,63000007,104724012,Spasmodic cough,1,0
3587071000006111,^ESCTCO358707,,66857006,111057012,Coughing up blood,1,0
397882011,1716,1716.00,28743005,48123018,Productive cough,1,0
407081018,171-1,171..11,272039006,407081018,C/O - cough,1,0
423230012,171B,171B.00,284523002,423230012,Persistent cough,1,1
442503015,171H,171H.00,301245004,442503015,Difficulty in coughing up sputum,1,0
459738011,171E,171E.00,315246003,459738011,Unexplained cough,1,1
479311018,171L,171L.00,19282004,479311018,Cough on exercise,1,0
5243651000006110,^ESCTPA524365,,247410004,369436013,Painful cough,1,0
5259531000006115,^ESCTCO525953,,248593001,371073019,Cough when swallowing,1,0
5259541000006113,^ESCTCO525954,,248593001,371074013,Coughs when swallowing,1,0
5468241000006113,^ESCTCO546824,,263731006,392016010,Coughing,1,0
5533011000006112,^ESCTCO553301,,272039006,2669603018,Complaining of cough,1,0
5583481000006118,^ESCTCO558348,,276314008,412397019,Coughing ineffective,1,0
5754161000006114,^ESCTCR575416,,289965001,429927018,Croupy cough,1,0
5887221000006111,^ESCTAL588722,,300959008,442163014,Allergic cough,1,0
5890991000006118,^ESCTDO589099,,301246003,442504014,Does cough up sputum,1,0
598431000006113,1716-1,1716.11,28743005,48123018,Coughing up phlegm,1,0
6781071000006112,^ESCTNO678107,,409596002,2471374014,Non-productive cough,1,0
7305041000006116,^ESCTPO730504,,445241004,2872868013,Postviral cough,1,0
78013015,H3101,H310100,46802002,78013015,Smokers' cough,1,1
8260311000006113,^ESCTEP826031,,810511000000109,2114811000000111,Episodic dry cough,1,0
82824016,171,171..00,49727002,82824016,Cough,1,0
961781000006119,EMISCCO10,,961781000006103,961781000006119,Cough,1,0
