medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,eosinophils
1227423014,42b9,42b9.00,1015561000000104,2574831000000115,Percentage eosinophils,1
119575019,42K,42K..00,1022561000000101,2566661000000112,Eosinophil count,1
257398016,42KZ,42KZ.00,1022561000000101,2566661000000112,Eosinophil count NOS,1
12621901000006117,^ESCT1262190,,1107391000000104,2771171000000111,Eosinophil count in blood,1
12621911000006119,^ESCT1262191,,1107401000000101,2771191000000110,Eosinophil percent count in blood,1
2734571000006113,^ESCTEO273457,,14793004,25133017,Eosinophil,1
257391010,42K1,42K1.00,165522008,257391010,Eosinophil count normal,1
15075741000006113,^ESCT1507574,,165522008,5145323017,Eosinophil count within reference range,1
6001241000006112,^ESCTPE600124,,310540006,1227423014,Percentage eosinophils,1
6001231000006119,^ESCTPE600123,,310540006,454135017,Percentage eosinophil count,1
6273581000006117,^ESCTEO627358,,365601007,488859012,Eosinophil count - finding,1
6273591000006119,^ESCTEO627359,,365601007,488860019,Eosinophil count,1
1480913018,42K3,42K3.00,386789004,1480913018,Eosinophil count raised,1
15082751000006114,^ESCT1508275,,386789004,5149795012,Eosinophil count above reference range,1
3670561000006111,^ESCTEO367056,,71960002,119575019,Eosinophil count,1
3670571000006116,^ESCTEO367057,,71960002,1233437011,Eosinophil count - observation,1
