medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,forced_fev1_fvc,fev1,fev1_predicted,fev1_percent_pred,fvc,fvc_predicted,fvc_percent_pred,fev1_fvc_ratio,fev1_fvc_ratio_predicted,fev1_fvc_ratio_percent_pred,reversibility_test_fev1_indic,bronchodilator
1141711000000111,33971,3397100,513471000000106,1141711000000111,Forced expired volume in 1 second percentage change,1,1,,,,,,,,,,
1141751000000110,339O0,339O000,445466003,2872069016,Forced expired volume in 1 second reversibility,1,1,,,,,,,,,1,Post-bronchodilation
1141791000000119,33962,3396200,445210000,2871597017,Percentage of predicted forced vital capacity,1,,,,,1,,,,,,
1224805016,339M,339M.00,251944000,1224805016,FEV1/FVC ratio,1,,,,,,,1,,,,Unspecified
14505011000006113,^ESCT1450501,,314472003,4578219016,FEV1/FVC < 70 percent of predicted,1,,,,,1,,,,,,
14505031000006119,^ESCT1450503,,314473008,4578207012,FEV1/FVC > 70 percent of predicted,1,,,,,1,,,,,,
1485135010,33H0,33H0.00,391111000,1485135010,Negative reversibility test to salbutamol,,,,,,,,,,,1,
1485137019,33I0,33I0.00,391113002,1485137019,Negative reversibility test to ipratropium bromide,,,,,,,,,,,1,
1485141015,33K0,33K0.00,391117001,1485141015,Negative reversibility test to corticosteroid,,,,,,,,,,,1,
1485142010,33H1,33H1.00,391118006,1485142010,Positive reversibility test to salbutamol,,,,,,,,,,,1,
1485143017,33I1,33I1.00,391119003,1485143017,Positive reversibility test to ipratropium bromide,,,,,,,,,,,1,
1485146013,33K1,33K1.00,391122001,1485146013,Positive reversibility test to corticosteroids,,,,,,,,,,,1,
1752221000006118,339S0,339S000,447254005,2884301017,Percentage predicted forced expiratory volume in 1 second after bronchodilation,1,,,1,,,,,,,,Post-bronchodilation
1761631000006119,EMISNQFE8,,1761631000006103,1761631000006119,FEV1 after bronchial provocation test,1,1,,,,,,,,,,Post-bronchodilation
1761641000006112,EMISNQFV1,,1761641000006108,1761641000006112,FVC after bronchial provocation test,1,,,,1,,,,,,,Post-bronchodilation
1761661000006111,EMISNQFE9,,1761661000006107,1761661000006111,FEV1 before bronchial provocation test,1,1,,,,,,,,,,Pre-bronchodilation
1761671000006116,EMISNQFV2,,1761671000006100,1761671000006116,FVC before bronchial provocation test,1,,,,1,,,,,,,Pre-bronchodilation
1771021000006117,EMISNQPE29,,1771021000006101,1771021000006117,Percentage predicted FEV1 after exercise,1,,,1,,,,,,,,Unspecified
1780219015,339a,339a.00,401012008,1780219015,FEV1 before bronchodilation,1,1,,,,,,,,,,Pre-bronchodilation
1780220014,339b,339b.00,401013003,1780220014,FEV1 after bronchodilation,1,1,,,,,,,,,,Post-bronchodilation
1780223011,339f,339f.00,401016006,1780223011,FEV1 post steroids,1,1,,,,,,,,,,Post-bronchodilation
