medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,stroke
104563015,G6,G6...00,62914000,104563015,Cerebrovascular disease,1
118689010,G640,G640.00,71444005,118689010,Cerebral thrombosis,1
1212072018,ESCTOC3,,373606000,1212072018,Occlusive stroke,1
1222398015,G64,G64..00,20059004,1222398015,Cerebral arterial occlusion,1
122361000006113,G64-3,G64..13,230691006,345638019,Stroke due to cerebral arterial occlusion,1
122401000006115,G66-2,G66..12,230690007,345637012,Stroke unspecified,1
1227592012,ZV125-2,ZV12512,266995000,397829016,[V]Personal history of cerebrovascular accident (CVA),1
125470015,G641,G641.00,75543006,125470015,Cerebral embolism,1
13717171000006112,^ESCT1371717,,16661971000119104,3773590013,Cerebrovascular accident due to stenosis of bilateral carotid arteries,1
13718621000006117,^ESCT1371862,,16896891000119106,3774524018,History of cerebrovascular accident due to ischaemia,1
13909861000006114,^ESCT1390986,,788880006,3787578016,Cerebral ischaemic stroke due to dissection of artery,1
13909881000006116,^ESCT1390988,,788882003,3786067010,Cerebral ischaemic stroke due to global hypoperfusion with watershed infarct,1
13909891000006118,^ESCT1390989,,788883008,3786069013,Cerebral ischaemic stroke due to hypercoagulable state,1
14014251000006116,^ESCT1401425,,16644681000119102,3780817010,Cerebrovascular accident due to occlusion of bilateral pontine arteries,1
14194161000006118,^ESCT1419416,,40076141000119107,3993167019,Acute stroke due to occlusion of left posterior cerebral artery,1
14194191000006114,^ESCT1419419,,46583221000119102,3993137013,Acute cerebrovascular accident due to stenosis of left carotid artery,1
14194211000006110,^ESCT1419421,,63230211000119103,3993157012,Acute cerebrovascular accident due to occlusion of left middle cerebral artery,1
14194281000006115,^ESCT1419428,,137592291000119101,3993169016,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery,1
14194331000006112,^ESCT1419433,,272202251000119109,3993162013,Acute cerebrovascular accident due to occlusion of right middle cerebral artery,1
14194491000006118,^ESCT1419449,,407573811000119100,4011845015,Acute cerebrovascular accident due to occlusion of right carotid artery,1
14194571000006115,^ESCT1419457,,502836591000119106,4011843010,Acute cerebrovascular accident due to occlusion of left carotid artery,1
14194611000006113,^ESCT1419461,,595899961000119100,4015877011,Acute cerebrovascular accident of basal ganglia,1
14194641000006112,^ESCT1419464,,652287331000119104,4016003015,Acute cerebrovascular accident of brainstem,1
14194651000006114,^ESCT1419465,,652287331000119104,4016004014,Acute stroke of brainstem,1
14194661000006111,^ESCT1419466,,693158221000119105,3993384019,Acute cerebrovascular accident due to stenosis of right carotid artery,1
14194741000006118,^ESCT1419474,,738478141000119101,3993407012,Acute cerebrovascular accident due to occlusion of right cerebellar artery,1
14194801000006111,^ESCT1419480,,762005171000119101,4011866011,Acute cerebrovascular accident due to ischaemia,1
14194811000006114,^ESCT1419481,,762005171000119101,4011863015,Acute ischaemic stroke,1
14194941000006115,^ESCT1419494,,931164671000119105,4011851013,Acute cerebrovascular accident due to embolism of right middle cerebral artery,1
14194971000006111,^ESCT1419497,,936648941000119105,4011849014,Acute cerebrovascular accident due to embolism of left middle cerebral artery,1
14518501000006113,^ESCT1451850,,652287331000119104,4577270011,Cerebrovascular accident of brainstem,1
1576261000006112,EGTON2EGTON275,,1576261000006108,1576261000006112,Cause of Death- Cerebral Infarct,1
1780304018,662e,662e.00,699270006,2983515011,CVA annual review,1
2126181000000114,662e-1,662e.11,699270006,2983500010,Stroke annual review,1
218511000000117,G64-2,G64..12,432504007,2770034014,Infarction - cerebral,1
2474651019,G64z4,G64z400,413102000,2474651019,Infarction of basal ganglia,1
264499015,662M,662M.00,170600009,264499015,Stroke monitoring,1
267311000006118,G6774,G677400,195236009,300400012,Occlusion and stenosis of multiple and bilateral cerebral arteries,1
267321000006114,G677,G677.00,195231004,300394010,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",1
2729551000000111,^ESCT1171762,,1089411000000104,2729551000000111,Cerebral infarction due to occlusion of cerebral artery,1
2729571000000119,^ESCT1171763,,1089421000000105,2729571000000119,Cerebral infarction due to stenosis of cerebral artery,1
294703019,E0304,E030400,191505005,294703019,"Acute confusional state, of cerebrovascular origin",1
299342019,Fyu56,Fyu5600,230698000,345651012,Lacunar infarction,1
300312010,G63y0,G63y000,195185009,300312010,Cerebral infarct due to thrombosis of precerebral arteries,1
300313017,G63y1,G63y100,195186005,300313017,Cerebral infarction due to embolism of precerebral arteries,1
300321011,G6400,G640000,195189003,300321011,Cerebral infarction due to thrombosis of cerebral arteries,1
300322016,G6410,G641000,195190007,300322016,Cerebral infarction due to embolism of cerebral arteries,1
300370010,G667,G667.00,195216008,300370010,Left sided CVA,1
300371014,G668,G668.00,195217004,300371014,Right sided CVA,1
