medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,vte
7967291000006116,^ESCTPU796729,,1001000119102,2967197019,Pulmonary embolism with infarction,1
395803017,G82z1,G82z100,111293003,178522012,Venous thrombosis,1
2162149016,G801-1,G801.11,128053003,194647015,Deep venous thrombosis,1
4403261000006113,^ESCTDV440326,,128053003,2162148012,DVT - Deep vein thrombosis,1
2162148012,G801-3,G801.13,128053003,2162149016,Deep vein thrombosis,1
8041571000006119,^ESCTAC804157,,132281000119108,2968256017,Acute deep venous thrombosis,1
8041581000006116,^ESCTAC804158,,132291000119106,2971883017,Acute deep venous thrombosis of femoral vein,1
8041601000006114,^ESCTAC804160,,132301000119107,2972079018,Acute deep venous thrombosis of ileofemoral vein,1
8042101000006112,^ESCTCH804210,,133971000119108,2968248015,Chronic pulmonary embolism,1
8042511000006119,^ESCTAC804251,,135001000119100,2971631010,Acute deep venous thrombosis of internal jugular vein,1
8044851000006112,^ESCTHI804485,,141911000119100,3043613018,History of recurrent deep vein thrombosis,1
251689017,14A81,14A8100,161508001,251689017,H/O: Deep Vein Thrombosis,1
451478017,ZV128,ZV12800,161508001,2547692019,H/O: Deep vein thrombosis,1
1227369013,ZV128-1,ZV12811,161508001,2547692019,[V] Personal history DVT (deep vein thrombosis),1
4540551000006119,^ESCTHI454055,,161508001,2986938011,History of deep vein thrombosis,1
251693011,14AC,14AC.00,161512007,251693011,H/O: pulmonary embolus,1
451479013,ZV129,ZV12900,161512007,251693011,[V] Personal history of pulmonary embolism,1
4540611000006119,^ESCTHI454061,,161512007,2986421016,History of pulmonary embolus,1
1786921000006116,EMISNQRE297,,1786921000006100,1786921000006116,Recurrent deep vein thrombosis,1
4785671000006113,^ESCTDE478567,,197001004,302982017,Deep venous thrombosis of the superior mesenteric vein,1
5057591000006116,^ESCTPU505759,,233935004,350497014,Pulmonary thromboembolism,1
5057621000006119,^ESCTAC505762,,233936003,350502011,Acute massive pulmonary embolism,1
5057651000006111,^ESCTSU505765,,233937007,350504012,Subacute massive pulmonary embolism,1
5057661000006113,^ESCTSA505766,,233937007,350505013,SAMPE - Subacute massive pulmonary embolism,1
5059301000006112,^ESCTIL505930,,234044007,3464381018,Iliofemoral deep vein thrombosis,1
5059321000006119,^ESCTIL505932,,234044007,350671010,Ileofemoral deep vein thrombosis,1
218551000000118,G801-2,G801.12,266267005,395801015,"Deep vein thrombosis, leg",1
884731000006110,G801-99,G801.99,266267005,884731000006110,Deep venous thrombosis - leg,1
12107671000006115,^ESCT1210767,,293461000119100,3646306012,Chronic deep vein thrombosis of left iliac vein,1
12107681000006117,^ESCT1210768,,293481000119109,3646321018,Acute deep vein thrombosis of right iliac vein,1
12107691000006119,^ESCT1210769,,293491000119107,3644949016,Acute deep vein thrombosis of left iliac vein,1
437622013,G824,G824.00,297156001,437622013,Axillary vein thrombosis,1
6694741000006111,^ESCTDE669474,,404223003,2156120013,Deep venous thrombosis of lower extremity,1
6694751000006113,^ESCTDV669475,,404223003,2162419014,DVT - Deep vein thrombosis of lower limb,1
6694761000006110,^ESCTDE669476,,404223003,2162420015,Deep venous thrombosis of leg,1
6694771000006115,^ESCTDE669477,,404223003,2162421016,Deep venous thrombosis of lower limb,1
2162422011,G801D,G801D00,404223003,2162422011,Deep vein thrombosis of lower limb,1
989221000006110,G801D-99,G801D99,404223003,989221000006110,Deep venous thrombosis - leg,1
7078581000006116,^ESCTDE707858,,427775006,2695171017,Deep venous thrombosis of deep femoral vein,1
7078601000006114,^ESCTDE707860,,427776007,2691844011,Deep venous thrombosis of the popliteal vein,1
632111000000118,G4011,G401100,438773007,2793990014,Recurrent pulmonary embolism,1
7251741000006115,^ESCTSE725174,,441557008,2816744010,Septic pulmonary embolism,1
1119161000000115,G801F,G801F00,443210003,1664901000000117,Deep vein thrombosis of peroneal vein,1
7273741000006119,^ESCTDE727374,,443210003,2839752017,Deep venous thrombosis of peroneal vein,1
14194181000006111,^ESCT1419418,,46557031000119105,3993606014,Acute DVT (deep vein thrombosis) of left peroneal vein,1
98484016,G401,G401.00,59282003,98484016,Pulmonary embolism,1
193601000006115,G401-2,G401.12,59282003,98484016,Pulmonary embolus,1
7966351000006118,^ESCTAC796635,,651000119108,2967724010,Acute deep vein thrombosis of lower limb,1
884751000006115,G82z1-99,G82z199,690131000000103,884751000006115,Venous thrombosis NOS,1
7609581000006110,^ESCTAC760958,,706870000,3027244010,Acute pulmonary embolism,1
7617181000006110,^ESCTCH761718,,707412000,3029984016,Chronic pulmonary thromboembolism,1
2144741000000111,G801G,G801G00,710167004,3043650017,Recurrent deep vein thrombosis,1
7820991000006114,^ESCTAC782099,,721663007,3325711019,Acute mesenteric venous occlusion,1
3636257010,^ESCT1168905,,762256003,3636257010,Iliac vein thrombosis,1
14194871000006117,^ESCT1419487,,843433951000119102,3993605013,Acute DVT (deep vein thrombosis) of right peroneal vein,1
851241000006115,EMISR4QAX1,,851241000006104,851241000006115,Axillary vein thrombosis,1
2247661000000111,8CMWA,8CMWA00,869611000000104,2247661000000111,On deep vein thrombosis care pathway,1
905491000006112,HNG0023,,905491000006108,905491000006112,[RFC] Venous thrombosis,1
909471000006114,HNGZ019,,909471000006105,909471000006114,[RFC] Deep vein thrombosis,1
2488341000000112,G801H,G801H00,978421000000101,2488341000000112,Unprovoked deep vein thrombosis,1
8361011000006114,^ESCTUN836101,,978421000000101,2518391000000114,Unprovoked DVT (deep vein thrombosis),1
