prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,inhaler
1022341000033117,3245011000001103,Oxis 12 Turbohaler (AstraZeneca UK Ltd),Oxis 12 Turbohaler,Inhalation powder,Inhalation,Formoterol fumarate dihydrate,12.000microgram/1.000dose,,laba
1022441000033111,3243511000001107,Oxis 6 Turbohaler (AstraZeneca UK Ltd),Oxis 6 Turbohaler,Inhalation powder,Inhalation,Formoterol fumarate dihydrate,6.000microgram/1.000dose,,laba
10387141000033115,29782111000001107,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd),Sirdupla 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
10387241000033110,29782511000001103,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd),Sirdupla 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
10589141000033112,29987211000001108,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free, Inhalation solution,Inhalation,Olodaterol hydrochloride/ Tiotropium bromide,2.500microgram/1.000dose + 2.500microgram/1.000dose,3010400,laba-lama
10589241000033117,29971311000001100,Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device, Inhalation solution,Inhalation,Olodaterol hydrochloride/ Tiotropium bromide,2.500microgram/1.000dose + 2.500microgram/1.000dose,,laba-lama
10715041000033111,30950311000001106,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd),AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
10735041000033115,31087511000001105,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,3020000,laba-ics
10735141000033116,31063111000001106,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd),Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
10740041000033111,31087411000001106,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,200.000microgram + 6.000microgram,3020000,laba-ics
