prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,oxygen,oxygen_therapy_type
1002741000033114,,"Ohmeda Domic 2/4  Oxygen set  1550033, spec 01a",,,,,,,1,"Oxygen therapy, type unknown"
1022941000033118,,Oxygen  Concentrator  ,,,,,,,1,Long-term oxygen therapy
1023041000033111,,Oxygen  Cylinder (pd300l)  300 litres,,,,,,,1,Ambulatory oxygen
1023141000033110,,Oxygen  Cylinder  1360 ml,,,,,,,1,Ambulatory oxygen
1023241000033115,,Oxygen  Cylinder  1360 litres,,,,,,,1,Ambulatory oxygen
1025041000033110,,"Oxilitre Athrodax  Oxygen set  mr210, spec 01a",,,,,,,1,"Oxygen therapy, type unknown"
11427741000033112,32437811000001108,Laryvox O2 HME filter cassette 49802 (Severn Healthcare Technologies Ltd),Laryvox O2 HME filter cassette,,,,,,1,"Oxygen therapy, type unknown"
1144041000033119,,"Puritan Bennett  Oxygen set  spec 01A, 778435",,,,,,,1,"Oxygen therapy, type unknown"
12436441000033118,34930111000001105,ProTrach XtraCare HME O2 adaptor 7769 (Atos Medical AB),ProTrach XtraCare HME O2 adaptor,,,,,,1,"Oxygen therapy, type unknown"
13590241000033111,38708411000001100,Freevent XtraCare HME O2 adaptor 7769 (Atos Medical AB),Freevent XtraCare HME O2 adaptor,,,,,,1,"Oxygen therapy, type unknown"
14143041000033111,39898411000001102,Oxygen cylinders size ZH with integral headset (BOC Ltd),Oxygen cylinders size ZH with integral headset,Inhalation gas,Inhalation,Oxygen,1.000ml/1.000ml,,1,"Oxygen therapy, type unknown"
1919341000033111,,"Therapy Equipment Dialreg Set  Oxygen set  spec 01A, 5120",,,,,,,1,"Oxygen therapy, type unknown"
1920541000033115,,Sabre Medical Oxydom  Oxygen set  spec 01A,,,,,,,1,"Oxygen therapy, type unknown"
1920641000033119,,"Oxylitre  Oxygen set  spec 01A, M 210 ",,,,,,,1,"Oxygen therapy, type unknown"
1920741000033111,,Oxygen  Composite cylinder with integral headset  1360 litres,,,,,,,1,"Oxygen therapy, type unknown"
2188041000033119,,"Oxylitre  Oxygen set  spec 01A, M 410",,,,,,,1,"Oxygen therapy, type unknown"
22841000033111,,"Air Apparatus And Valve  Oxygen set  d24, spec 01b",,,,,,,1,"Oxygen therapy, type unknown"
2490041000033119,,*Oxygen  Liquid  ,,,,,,,1,"Oxygen therapy, type unknown"
